"arc_id","flow","traversal_time","active","x1","x2","y1","y2","z1","z2","capacity","initial_node","final_node"
343,0,"00:00:01",True,337,373,167,118,900,600,1000,197,191
344,0,"00:00:03",True,551,337,173,167,900,600,1000,198,197
345,0,"00:00:01",True,505,551,228,173,900,600,1000,189,198
346,0,"00:00:01",True,551,526,173,121,900,600,1000,198,190
347,0,"00:00:03",True,551,743,173,126,900,600,1000,198,187
348,0,"00:00:01",True,635,551,229,173,900,600,1000,188,198
349,0,"00:00:04",True,551,797,173,232,900,600,1000,198,185
350,0,"00:00:06",True,946,551,86,173,900,600,1000,184,198
351,0,"00:00:01",True,882,854,561,595,900,600,1000,199,176
352,0,"00:00:01",True,935,882,598,561,900,600,1000,177,199
353,0,"00:00:01",True,882,893,561,498,900,600,1000,199,182
354,0,"00:00:04",True,551,818,173,202,900,600,1000,198,186
355,0,"00:00:02",True,882,956,561,411,900,600,1000,199,179
356,0,"00:00:02",True,882,817,561,410,900,600,1000,199,178
357,0,"00:00:02",True,882,891,561,423,900,600,1000,199,181
358,0,"00:00:03",True,882,886,561,334,900,600,1000,199,180
359,0,"00:00:05",True,882,956,561,221,900,600,1000,199,183
360,0,"00:00:08",True,882,551,561,173,900,600,1000,199,198
361,0,"00:00:04",True,882,640,561,702,900,600,1000,199,200
362,0,"00:00:01",True,640,693,702,654,900,600,1000,200,169
363,0,"00:00:01",True,640,655,702,761,900,600,1000,200,172
364,0,"00:00:01",True,640,697,702,707,900,600,1000,200,170
365,0,"00:00:02",True,770,640,760,702,900,600,1000,171,200
366,0,"00:00:02",True,640,474,702,761,900,600,1000,200,173
367,0,"00:00:02",True,640,515,702,659,900,600,1000,200,168
368,0,"00:00:02",True,640,496,702,710,900,600,1000,200,175
369,0,"00:00:05",True,640,335,702,767,900,600,1000,200,174
370,0,"00:00:07",True,640,217,702,833,900,600,1000,200,164
371,0,"00:00:05",True,640,299,702,657,900,600,1000,200,166
372,0,"00:00:05",True,640,299,702,702,900,600,1000,200,167
373,0,"00:00:07",True,640,216,702,707,900,600,1000,200,165
374,0,"00:00:06",True,640,255,702,602,900,600,1000,200,163
375,0,"00:00:06",True,375,784,198,201,600,300,1000,158,159
377,0,"00:00:05",True,337,130,167,218,600,900,1000,197,201
379,0,"00:00:05",True,130,337,218,167,600,900,1000,201,197
380,0,"00:00:05",True,375,67,198,74,300,600,1000,158,59
381,0,"00:00:05",True,67,375,74,198,300,600,1000,59,158
382,0,"00:00:02",True,379,299,271,221,300,0,1000,55,37
383,0,"00:00:02",True,784,709,804,692,300,0,1000,22,26
